instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32
si2_r005_m600.00 150008 8361 6692 676
si2_r005_m600.06 94709 2868 4190 431
si2_r005_m600.01 89071 6793 3659 933
si2_r005_m600.04 174277 963 6218 13
si2_r005_m600.09 38825 578 1988 184
si2_r005_m600.05 82660 1394 3556 279
si2_r005_m600.02 81435 3113 3828 447
si2_r005_m600.08 607161 5080 28854 304
si2_r005_m600.07 16203 1482 701 499
si4_r01_m600.05 349345 313 12066 56
si4_r01_m600.02 439162 592 16393 60
si4_r01_m600.03 717365 2069 24996 34
si4_r01_m600.07 894082 414 31979 124
si4_r01_m600.08 943182 1366 33727 171
si4_r01_m600.06 482147 2739 18121 339
si4_r01_m600.01 1000000 68 48003 306
si4_r01_m600.04 483718 12 16711 77
si4_r01_m600.00 1000000 25 39116 47
si4_r01_m600.09 363575 2025 12973 272
si2_b09_m400.04 22 1 5 3
si2_b09_m400.08 9 2 5 2
si2_b09_m400.05 22 1 5 5
si2_b09_m400.01 22 1 4 2
si2_b09_m400.03 15 1 5 3
si2_b09_m400.02 15 1 5 2
si2_b09_m400.07 14 1 7 4
si2_b09_m400.09 16 1 4 3
si2_b09_m400.06 15 1 6 3
si2_b09_m400.00 15 1 6 3
si4_b06_m200.06 7 0 6 3
si4_b06_m200.03 7 1 6 2
si4_b06_m200.02 7 0 5 3
si4_b06_m200.07 7 0 6 4
si4_b06_m200.05 6 0 8 3
si4_b06_m200.08 4 0 6 2
si4_b06_m200.00 7 0 6 2
si4_b06_m200.04 7 0 6 2
si4_b06_m200.01 7 0 6 2
si4_b06_m200.09 8 0 6 2
si4_r005_m400.06 8281 10 422 25
si4_r005_m400.03 8244 168 392 65
si4_r005_m400.07 12986 61 632 30
si4_r005_m400.01 3788 26 213 7
si4_r005_m400.04 7339 119 342 44
si4_r005_m400.00 6648 21 319 4
si4_r005_m400.09 3043 22 148 9
si4_r005_m400.05 3298 38 166 7
si4_r005_m400.08 2161 6 126 5
si4_r005_m400.02 3296 188 162 86
si4_m4Dr2_m1296.07 553 15 96 30
si4_m4Dr2_m1296.00 755 28 94 30
si4_m4Dr2_m1296.05 529 19 105 28
si4_m4Dr2_m1296.04 748 17 97 28
si4_m4Dr2_m1296.08 1854 23 155 32
si4_m4Dr2_m1296.01 987 24 113 29
si4_m4Dr2_m1296.06 764 20 108 30
si4_m4Dr2_m1296.02 722 28 123 28
si4_m4Dr2_m1296.03 1590 29 123 27
si4_m4Dr2_m1296.09 638 28 114 29
si6_b09_m800.03 182 8 80 15
si6_b09_m800.09 175 6 82 19
si6_b09_m800.07 175 9 83 20
si6_b09_m800.05 153 12 88 20
si6_b09_m800.04 147 5 76 18
si6_b09_m800.01 140 6 84 20
si6_b09_m800.00 202 14 92 21
