instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 clique-cilk/t32 clique-cilk/t32r james-cpp-max-par/t32r clique-par/t4 clique-par/t2 clique-prime clique-prime-par/t32 james-cpp-max-prime james-cpp-max-prime-par/t32
mcs10_b06_s100_AB05 100000 100000 57460 33384 29486 33361 29916 100000 100000 100001 25861 26089 100001 100000 100000 100000 17487 100000 100001
mcs10_b06_s100_AB06 8990 100000 1453 945 904 903 906 100000 100000 100001 696 717 100001 2451 4721 8632 449 100000 100001
mcs10_b06_s100_AB07 100000 100000 43393 18931 12725 12595 12758 100000 100000 100001 17024 18201 100001 77079 100000 100000 12652 100000 100001
mcs10_b06_s100_AB08 100000 100000 50201 26299 19440 20092 19444 100000 100000 100001 24077 24217 100001 96096 100000 100000 18709 100000 100001
mcs10_b06_s100_AB09 8745 100000 1337 843 492 560 494 100000 100000 100001 553 562 100001 2373 4570 8468 418 100000 100001
mcs10_b06_s70_AB00 3288 100000 503 312 272 302 278 100000 100001 100001 218 240 100001 809 1761 2964 170 100000 100001
mcs10_b06_s70_AB01 2354 60696 304 177 151 150 155 12546 11810 11608 182 175 11423 577 1141 2218 152 59458 12319
mcs10_b06_s70_AB02 11841 100000 1566 892 640 623 658 100000 100000 100001 867 856 100001 2973 6016 11600 626 100000 100001
mcs10_b06_s70_AB03 1442 61285 203 130 122 132 124 22248 21979 22127 135 129 21898 376 742 1438 123 49143 22032
mcs10_b06_s70_AB04 3487 100000 460 260 188 194 185 25466 19288 19072 259 271 24255 879 1743 3406 186 100000 19186
mcs10_b06_s70_AB05 5315 100000 728 487 437 503 431 58910 57122 57976 508 508 58447 1272 2412 4337 235 100000 57396
mcs10_b06_s70_AB06 18987 100000 2453 1345 1018 972 1041 60028 54628 55061 1246 1250 55109 4742 9686 18933 1016 100000 55296
mcs10_b06_s70_AB07 3915 92209 531 313 225 249 221 19640 13652 16403 304 308 20635 1021 2035 3831 202 89250 14908
