instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32 clique-par/t2 clique-par/t4 clique-par/t8 clique-par/t16 clique-par/t32r
mcs10_b06m_s100_AB04 49756 1000000 4504 1000002 30540 12261 7650 4498 4201
mcs10_b06m_s100_AB05 183407 1000000 6158 1000002 107588 39597 27120 11543 5893
mcs10_b06m_s100_AB06 720782 1000000 16244 1000004 340556 120251 67926 24981 13734
mcs10_b06m_s100_AB07 70926 1000000 2616 1000003 43031 15314 10255 3630 2287
mcs10_b06m_s100_AB08 539106 1000000 18974 1000002 299338 95492 65022 32182 18958
mcs10_b06m_s100_AB09 81315 1000000 4565 1000003 54970 23985 21711 12240 4538
mcs10_b06m_s70_AB00 6698 112849 582 20634 4299 1865 1290 767 491
mcs10_b06m_s70_AB01 10096 83098 425 6418 5103 2137 1343 677 378
mcs10_b06m_s70_AB02 35447 209856 2087 70455 22505 8905 6460 3623 2223
mcs10_b06m_s70_AB03 21960 186388 926 9754 13585 5355 3451 1594 845
mcs10_b06m_s70_AB04 13636 149958 559 9833 7958 2963 1688 873 478
mcs10_b06m_s70_AB05 2917 181970 202 13813 1699 947 428 252 162
mcs10_b06m_s70_AB06 16892 212094 968 71453 8490 3470 2312 1099 762
mcs10_b06m_s70_AB07 32116 494446 2057 82578 20218 7623 4765 2621 1952
mcs10_b06m_s70_AB08 25649 95876 944 4248 15196 5515 3028 1629 906
mcs10_b06m_s70_AB09 21977 431898 926 149706 13570 5312 2994 1627 874
mcs10_b06m_s80_AB00 298043 1000000 10321 542124 185894 68288 46460 19735 9983
mcs10_b06m_s80_AB01 153769 1000000 5119 653419 72331 25426 17212 7705 4267
mcs10_b06m_s80_AB02 1000000 1000000 58068 1000003 1000000 396460 270998 114332 57837
mcs10_b06m_s80_AB03 38769 147062 2079 42178 20871 8596 6030 4104 1890
mcs10_b06m_s80_AB04 21689 523990 1055 197745 13707 5474 3131 1403 956
mcs10_b06m_s80_AB05 1000000 1000000 102454 1000002 1000000 702302 481761 202259 102073
mcs10_b06m_s80_AB06 129534 1000000 7267 712692 68200 25358 14920 8186 6147
mcs10_b06m_s80_AB07 1000000 1000000 73374 1000003 1000000 499955 345541 148736 73148
mcs10_b06m_s80_AB08 410755 1000000 49529 852612 285522 128002 124779 81361 50383
mcs10_b06m_s80_AB09 141549 1000000 8702 378129 92277 36358 32296 17576 8632
mcs10_b06m_s90_AB00 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000002 1000002
mcs10_b06m_s90_AB01 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b06m_s90_AB02 1000000 1000000 840195 1000001 1000001 1000001 1000001 1000001 837086
mcs10_b06m_s90_AB03 1000000 1000000 948336 1000002 1000001 1000001 1000001 1000001 955743
mcs10_b06m_s90_AB04 1000000 1000000 1000002 1000002 1000001 1000001 1000001 1000001 1000002
mcs10_b06m_s90_AB05 1000000 1000000 573572 1000003 1000001 1000001 1000001 1000002 571534
mcs10_b06m_s90_AB06 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b06m_s90_AB07 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
mcs10_b06m_s90_AB08 1000000 1000000 1000002 1000001 1000001 1000001 1000001 1000001 1000002
