instance kdown james-cpp-max-down kdown-par/t32 james-cpp-max-down-par/t32 kdown-par/t32r kdown-cilk/t32 kdown-cilk/t32r
si2_b09_m200.04 3 1 5 3 5 14 20
si2_b09_m200.09 3 0 5 3 5 23 31
si2_b09_m200.07 4 0 8 2 5 19 35
si6_r01_m600.02 100000 187 39825 21 39326 39884 40053
si6_r01_m600.06 100000 12 33953 12 34337 35116 35829
si6_r01_m600.09 100000 582 16381 14 16155 16186 15864
si6_r01_m600.08 100000 4469 48749 940 48870 49473 49458
si6_r01_m600.05 100000 20 33829 41 32853 33283 34038
si6_r01_m600.07 100000 394 61691 33 61115 62987 61270
si6_r01_m600.03 100000 264 29556 179 30521 30002 29717
si6_r01_m600.00 100000 161 8720 33 8974 8902 9023
si6_r01_m600.01 100000 33 100002 153 100002 100041 100049
si6_r01_m600.04 100000 753 100002 28 100002 100046 100048
si2_b06_m200.02 5 0 5 2 5 23 17
si2_b06_m200.00 3 0 5 3 5 31 26
si2_b06_m200.01 3 1 5 3 5 14 28
si2_b06_m200.06 3 0 5 3 5 13 29
si2_b06_m200.09 4 0 5 2 5 12 16
si2_b06_m200.07 4 0 5 3 4 35 25
si2_b06_m200.04 3 0 5 4 5 14 25
si2_b06_m200.08 3 0 5 2 5 19 12
si2_b06_m200.03 3 0 5 2 5 29 21
si2_b06_m200.05 5 0 4 2 5 29 24
si6_m4Dr2_m1296.05 1264 28 242 36 220 677 665
si6_m4Dr2_m1296.09 1391 29 243 37 230 688 694
si6_m4Dr2_m1296.01 1266 28 228 35 238 678 673
si6_m4Dr2_m1296.06 1255 27 230 38 253 694 680
si6_m4Dr2_m1296.07 1975 45 267 38 267 748 729
si6_m4Dr2_m1296.03 1276 42 270 33 261 701 687
si6_m4Dr2_m1296.04 1283 33 248 35 227 699 689
si6_m4Dr2_m1296.00 1290 28 237 43 238 688 843
si6_m4Dr2_m1296.08 1327 43 267 41 253 726 702
si6_m4Dr2_m1296.02 1425 28 259 33 246 708 701
si2_b09m_m800.09 345 11 34 11 37 96 88
si2_b09m_m800.07 130 34722 34 33101 32 94 84
si2_b09m_m800.00 131 7 35 13 30 92 76
si2_b09m_m800.04 130 6 32 13 35 92 94
si2_b09m_m800.02 130 6 29 12 33 86 85
si2_b09m_m800.05 153 7 41 12 30 90 85
si2_b09m_m800.03 129 7 34 14 31 78 90
si2_b09m_m800.08 131 6 34 10 32 90 81
si2_b09m_m800.06 138 8 35 13 33 86 90
si2_b09m_m800.01 125 7 28 11 28 88 77
si4_b03_m400.01 32 2 22 4 21 62 78
si4_b03_m400.02 26 2 23 4 21 57 52
si4_b03_m400.05 43 3 24 4 23 63 50
si4_b03_m400.07 26 2 20 5 21 50 67
si4_b03_m400.06 26 3 21 4 20 64 54
si4_b03_m400.00 26 2 21 5 20 82 57
si4_b03_m400.03 45 2 21 4 20 70 76
si4_b03_m400.04 25 2 21 5 20 49 50
si4_b03_m400.09 26 2 21 5 21 58 64
si4_b03_m400.08 26 2 23 4 20 59 63
si2_b03_m200.05 3 0 5 2 5 34 25
si2_b03_m200.09 3 0 4 2 5 25 23
si2_b03_m200.07 3 0 5 1 5 22 14
si2_b03_m200.01 5 0 5 2 4 29 15
si2_b03_m200.08 3 0 6 3 5 16 20
si2_b03_m200.02 3 0 5 2 6 27 20
si2_b03_m200.04 4 0 5 3 5 20 23
si2_b03_m200.03 3 0 5 2 5 28 28
si2_b03_m200.06 4 0 5 2 5 56 26
si2_b03_m200.00 5 0 5 2 5 27 29
si4_r005_m600.00 65974 128 5699 13 5910 5920 5884
si4_r005_m600.02 18428 136 1646 64 1673 1778 1753
si4_r005_m600.08 76178 1055 6705 355 6731 6652 6643
si4_r005_m600.05 42448 382 3590 145 3626 3653 3647
si4_r005_m600.07 32398 192 2794 64 2879 2910 2832
si4_r005_m600.06 100000 483 17862 39 17852 18515 18019
si4_r005_m600.01 60694 86 4831 47 5005 5115 5104
si4_r005_m600.04 56180 419 4762 128 4764 4753 4850
si4_r005_m600.03 23748 53 2078 13 2093 2124 2140
si4_r005_m600.09 17820 21 1683 25 1685 1692 1751
si4_b09_m400.05 26 2 22 4 22 54 57
si4_b09_m400.03 26 2 21 5 22 64 58
si4_b09_m400.00 29 3 24 5 24 44 58
si4_b09_m400.07 26 2 18 5 19 52 49
si4_b09_m400.01 28 3 22 5 22 63 52
si4_b09_m400.06 44 3 23 4 22 54 64
si4_b09_m400.04 26 2 22 5 20 73 71
si4_b09_m400.02 26 2 24 5 22 52 52
si4_b09_m400.08 26 2 19 5 19 59 59
si4_b09_m400.09 30 3 16 5 23 59 51
si4_b06m_m400.06 58 3 18 5 20 47 51
si4_b06m_m400.03 79 2 17 4 15 46 47
si4_b06m_m400.01 55 3 19 4 17 49 54
si4_b06m_m400.08 57 2 21 4 21 46 45
si4_b06m_m400.05 57 4 24 5 23 56 48
si4_b06m_m400.07 54 2 16 5 18 46 40
si4_b06m_m400.00 56 2 17 4 16 49 51
