instance kdown james-cpp-max-down
si2_r005_m400.00 45521 509135
si2_r005_m400.07 137010 509551
si2_r005_m400.09 57033 54104
si2_r005_m400.04 144757 176023
si2_r005_m400.01 21139 12918
si2_b06m_m400.03 34 667
si2_b06m_m400.06 37 794
si2_b06m_m400.05 43 1100
si2_b06m_m400.01 36 701
si2_b06m_m400.00 37 639
si2_b06m_m400.08 196 1174
si2_b06m_m400.07 27 779
si2_b06m_m400.09 31 682
si2_b06m_m400.04 52 1366
si2_b06m_m400.02 20 833
si6_r005_m600.02 45010 9864
si6_r005_m600.08 23087 1616
si6_r005_m600.03 74846 3714
si6_r005_m600.05 99892 3578
si6_r005_m600.07 35628 10054
si6_r005_m600.04 48589 3462
si6_r005_m600.06 84467 36460
si6_r005_m600.01 4292 2782
si6_r005_m600.09 NaN 1557
si6_r005_m600.00 15816 3498
si6_r005_m200.02 732 3099
si6_r005_m200.08 2236 1584
si6_r005_m200.09 2065 2629
si6_r005_m200.05 1389 8982
si6_r005_m200.03 457 1753
si6_r005_m200.00 6351 7553
si6_r005_m200.04 2451 653
si6_r005_m200.07 779 1103
si6_r005_m200.01 1772 499
si6_r005_m200.06 320 838
si2_m4Dr6_m625.06 75 1705
si2_m4Dr6_m625.08 174 1825
si2_m4Dr6_m625.07 322 2597
si2_m4Dr6_m625.03 216 3566
si2_m4Dr6_m625.04 133 3466
si2_m4Dr6_m625.05 89 1510
si2_m4Dr6_m625.09 230 2845
si2_m4Dr6_m625.01 391 6824
si2_m4Dr6_m625.02 2179 6899
si2_m4Dr6_m625.00 30 1326
si6_b03_m800.02 4 1763
si6_b03_m800.04 4 1763
si6_b03_m800.03 4 1763
si6_b03_m800.05 4 1763
si6_b03_m800.06 4 1763
si6_b03_m800.01 4 1763
si6_b03_m800.00 4 1763
si6_b03_m800.07 4 1763
si6_b03_m800.09 4 1763
si6_b03_m800.08 4 1763
si4_m4D_m1296.09 171 4878
si4_m4D_m1296.06 54 3017
si4_m4D_m1296.05 71 3197
si4_m4D_m1296.00 59335 453815
si4_m4D_m1296.03 18567 203629
si4_m4D_m1296.04 583 12107
si4_m4D_m1296.08 NaN NaN
si4_m4D_m1296.02 2272 81379
si4_m4D_m1296.01 699 14015
si4_m4D_m1296.07 9 2360
si6_b03m_m400.03 65 1041
si6_b03m_m400.01 56 2147
si6_b03m_m400.09 66 978
si6_b03m_m400.08 58 962
si6_b03m_m400.07 50 967
si6_b03m_m400.02 74 1082
si6_b03m_m400.05 58 968
si6_b03m_m400.00 72 1054
si6_b03m_m400.06 64 1022
si6_b03m_m400.04 64 999
si4_m4D_m256.07 14 614
si4_m4D_m256.06 23 513
si4_m4D_m256.05 24 830
si4_m4D_m256.08 25 1735
si4_m4D_m256.04 73 1789
si4_m4D_m256.09 69 2168
si4_m4D_m256.02 16 546
si4_m4D_m256.00 84 2133
