instance clique james-cpp-max kdown clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t4 kdown-par/t8 kdown-par/t16 kdown-par/t32 kdown-par/t64 clique-cilk/t32 kdown-cilk/t32 clique-cilk/t32r kdown-cilk/t32r kdown-par/t32r james-cpp-max-par/t32r
mcs10_m2Dr6_s50_AB08 100000 100000 100000 100004 100005 100006 100007 100006 100000 100001 100001 100000 100000 100001 100003 100007 100002 100002 100002 100002 100002 100001
mcs10_m2Dr6_s50_AB09 100001 100000 100000 100004 100005 100006 100009 100006 100000 100000 100001 100000 100000 100001 100003 100006 100002 100002 100002 100002 100002 100002
mcs10_r005_s20_AB00 44 1 85 27 27 28 32 29 2 4 7 23 15 21 46 85 39 30 40 24 43 7
mcs10_r005_s20_AB01 57 2 41 28 32 34 33 31 2 3 7 46 35 45 60 70 41 28 44 31 59 6
mcs10_r005_s20_AB02 44 1 30 26 32 30 30 30 2 3 6 31 24 29 48 79 45 47 41 29 48 6
mcs10_r005_s20_AB03 200 3 62 36 32 31 36 32 2 4 8 115 67 56 75 90 50 43 37 51 71 7
mcs10_r005_s20_AB04 45 1 37 28 30 28 33 31 1 3 6 71 58 59 101 155 47 47 57 55 96 6
mcs10_r005_s20_AB05 52 32 570 26 28 30 30 32 4 4 9 295 131 158 213 238 60 68 58 80 214 8
mcs10_r005_s20_AB06 47 0 54 26 28 29 31 29 1 2 4 21 19 25 54 63 34 17 41 20 49 4
mcs10_r005_s20_AB07 98 2 76 29 29 31 31 30 3 4 6 104 63 26 37 65 43 31 43 36 37 7
mcs10_r005_s20_AB08 67 10 587 30 30 31 33 31 3 4 8 159 126 143 194 242 37 59 41 63 187 7
mcs10_r005_s20_AB09 100 9 288 33 34 32 35 34 3 5 10 110 71 73 118 176 49 37 52 49 122 9
mcs10_r005_s25_AB00 1327 182 30236 199 141 132 152 132 52 31 36 6437 3980 3389 3876 3127 163 2876 159 3251 3834 36
mcs10_r005_s25_AB01 1271 32 504 208 148 130 149 128 4 6 9 289 150 91 158 322 160 92 155 90 161 9
mcs10_r005_s25_AB02 1703 29 567 238 167 168 146 145 3 6 9 164 115 110 162 154 175 84 189 86 167 8
mcs10_r005_s25_AB03 4705 39 1670 695 419 283 322 276 8 10 14 1697 1103 870 1690 1879 537 170 539 182 1663 13
mcs10_r005_s25_AB04 25232 21 734 3093 1609 1306 1332 1321 8 9 12 704 466 302 408 521 1944 134 1936 143 379 10
mcs10_r005_s25_AB05 1523 3 441 241 147 112 136 124 5 6 10 239 90 89 126 244 155 88 148 81 121 10
mcs10_r005_s25_AB06 11817 19 953 1196 692 541 554 546 10 8 13 651 376 306 638 467 934 98 879 189 575 11
mcs10_r005_s25_AB07 487 59 376 117 98 97 90 104 7 8 13 477 200 180 243 320 97 104 106 79 248 14
mcs10_r005_s25_AB08 3500 26 1275 472 286 223 261 217 6 8 13 762 578 491 498 575 362 188 363 212 470 12
mcs10_r005_s25_AB09 6131 78 5110 782 371 326 359 327 5 6 11 333 208 177 236 305 468 108 432 117 234 11
mcs10_r005_s30_AB00 70789 352 13781 8622 4390 4256 5995 4360 55 43 28 13799 6616 4972 6560 7199 4530 3749 4825 3586 6882 27
mcs10_r005_s30_AB01 100000 616 26182 98350 50592 37406 38184 37762 92 53 46 12455 8865 5688 6909 7847 50394 2790 50315 2541 6979 47
mcs10_r005_s30_AB02 86964 909 24431 10942 5676 4574 4462 4609 202 95 74 17509 9996 7135 8681 10533 5720 3784 5679 3890 8336 66
mcs10_r005_s30_AB03 100001 613 15602 23266 11441 8085 9623 8142 87 59 48 26465 11439 6538 6998 9594 11984 5720 12250 4274 6695 50
mcs10_r005_s30_AB04 100000 652 28140 100002 100002 85751 87419 86544 122 75 55 25345 13424 9245 13287 15086 100000 6006 100000 6319 12632 55
mcs10_r005_s30_AB05 100000 423 19578 100001 72497 56708 57406 57376 78 58 36 16691 10645 7409 6433 7059 76022 2486 76688 3398 7467 34
mcs10_r005_s30_AB06 100000 2262 100000 100002 53929 42973 43234 42988 489 236 195 54893 33239 20310 24940 27359 62361 10879 61697 10324 25887 198
mcs10_r005_s30_AB07 100000 768 16861 27631 13874 10617 10681 10648 81 49 36 13243 7254 5051 5989 6317 14299 2654 14265 2129 5690 39
mcs10_r005_s30_AB08 100000 38 9206 31605 14459 11332 11374 11353 8 9 16 1398 972 551 677 908 13918 464 14699 362 653 17
mcs10_r005_s30_AB09 53278 427 24606 5641 2654 1749 1752 1736 54 38 32 11364 6783 4539 4822 5912 2804 2962 2733 2336 5074 31
mcs10_r005_s35_AB00 100000 9732 100000 100002 100003 100004 100007 100004 2058 1090 914 100000 100000 100001 100003 100006 100001 84000 100000 82555 100003 813
mcs10_r005_s35_AB01 100000 6437 100000 100002 100003 100005 100006 100005 1248 829 695 100000 100000 100001 100002 100007 100000 42265 100000 45881 100002 664
mcs10_r005_s35_AB02 100000 11305 100000 100003 100003 100005 100006 100004 1885 1060 850 100000 100000 100001 100002 100007 100001 100002 100001 100002 100002 819
mcs10_r005_s35_AB03 100000 28344 100000 100003 100004 100004 100006 100004 6277 3332 2360 100000 100000 100001 100003 100006 100000 100001 100001 100002 100002 2178
mcs10_r005_s35_AB04 100000 13177 100000 100002 100003 100004 100006 100004 2591 857 1111 100000 100000 100001 100002 100006 100001 85734 100000 72276 100003 725
mcs10_r005_s35_AB05 100000 2864 100000 100002 100003 100005 100007 100004 546 477 217 100000 79564 48850 54174 46172 100000 25438 100001 23141 55494 201
mcs10_r005_s35_AB06 100000 8569 100000 100003 100002 100003 100006 100004 1537 718 457 100000 100000 100001 100003 100007 100000 40480 100000 61091 100002 346
mcs10_r005_s35_AB07 100000 24975 100000 100002 100002 100004 100007 100004 4968 2863 2369 100000 100000 100001 100002 100007 100001 100002 100000 100002 100003 2066
mcs10_r005_s35_AB08 100000 3738 100000 100002 100003 100004 100005 100004 818 550 391 100000 100000 90424 93285 94745 100001 68579 100000 67542 96601 385
mcs10_r005_s35_AB09 100000 3520 100000 100002 100002 100004 100006 100005 584 388 278 100000 98141 57369 59672 65318 100001 52452 100000 41670 58033 296
mcs10_r005_s40_AB00 100000 100000 100000 100003 100003 100004 100007 100005 48635 31841 26395 100000 100000 100001 100002 100006 100001 100001 100001 100001 100002 21249
mcs10_r005_s40_AB01 100000 100000 100000 100003 100003 100005 100007 100005 62947 31826 30950 100000 100000 100001 100002 100007 100001 100003 100001 100002 100002 30878
mcs10_r005_s40_AB02 100000 100000 100000 100003 100004 100004 100007 100005 100000 64793 42563 100000 100000 100001 100003 100006 100001 100002 100001 100002 100003 43929
mcs10_r005_s40_AB03 100000 100000 100000 100003 100003 100004 100007 100004 50592 34182 28674 100000 100000 100001 100003 100006 100001 100002 100001 100003 100003 28539
