instance clique james-cpp-max clique-par/t8 clique-par/t16 clique-par/t32 clique-par/t64 clique-par/t32r james-cpp-max-par/t8 james-cpp-max-par/t16 james-cpp-max-par/t32
mcs10_b09_s100_AB08 NaN NaN 107557229 101159579 89661948 95905743 90060519 NaN NaN NaN
mcs10_b09_s100_AB09 18015809 NaN 15955371 18169774 21730133 21631202 21826183 NaN NaN NaN
mcs10_b09m_s100_AB00 31838083 NaN 28425903 28516235 28489912 28553281 28592051 NaN NaN NaN
mcs10_b09m_s100_AB01 NaN NaN 129263400 136688485 141826597 154978438 141809577 NaN NaN NaN
mcs10_b09m_s100_AB02 32565954 NaN 31887171 32591492 33663612 33796586 33758947 NaN NaN NaN
mcs10_b09m_s100_AB03 25188828 NaN 22729541 24070876 26899488 25039697 26861034 NaN NaN NaN
mcs10_b09m_s100_AB04 10670576 NaN 12037358 11810873 13542448 15176766 13612642 NaN NaN NaN
mcs10_b09m_s100_AB05 6157769 NaN 6314412 6320491 6874327 6889749 6735280 NaN NaN NaN
mcs10_b09m_s100_AB06 65314634 NaN 52382184 47484574 49423349 52803388 49341362 NaN NaN NaN
mcs10_b09m_s100_AB07 19981374 NaN 20507790 21356213 21716319 22142748 22018497 NaN NaN NaN
mcs10_b09m_s100_AB08 14867496 NaN 14308290 15272446 16546727 17197098 16440951 NaN NaN NaN
mcs10_b09m_s100_AB09 55770131 NaN 55223954 53078427 53320525 53643991 53327768 NaN NaN NaN
mcs10_m2D_s100_AB00 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s100_AB01 53272017 NaN 79280066 99157356 82441167 66927716 82290252 NaN NaN NaN
mcs10_m2D_s100_AB02 NaN NaN NaN 468571526 469014352 469713081 469004356 NaN NaN NaN
mcs10_m2D_s100_AB03 41006799 NaN 32902041 20950258 23630928 36406215 23569313 NaN NaN NaN
mcs10_m2D_s100_AB04 NaN NaN 429084981 646675570 982908232 933464515 935211307 NaN NaN NaN
mcs10_m2D_s100_AB05 NaN NaN 221780295 197706592 201405852 191054387 201738540 NaN NaN NaN
mcs10_m2D_s100_AB06 NaN NaN 374623477 381031410 380654967 387042889 380692542 NaN NaN NaN
mcs10_m2D_s100_AB07 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
mcs10_m2D_s100_AB08 NaN NaN NaN 1503088713 1093778124 1093653496 1093538066 NaN NaN NaN
mcs10_m2D_s100_AB09 NaN NaN NaN 921635441 1113038539 1113646670 1114852570 NaN NaN NaN
mcs10_m2D_s40_AB00 108241 918314 77166 71554 92576 67680 71077 757004 883498 793803
mcs10_m2D_s40_AB01 59077 188870 47823 62442 46785 46619 46781 163299 183472 181087
mcs10_m2D_s40_AB02 105908 533582 76525 78007 74975 80064 75589 509090 523969 547390
mcs10_m2D_s40_AB03 22801 154820 23319 24215 24070 23428 23347 121198 125293 113081
mcs10_m2D_s40_AB04 15502 771259 12592 11470 16300 14622 10994 711118 722051 724490
mcs10_m2D_s40_AB05 30198 459427 30755 31175 30397 30419 30828 447792 448292 446759
mcs10_m2D_s40_AB06 150293 335421 124715 125772 138190 124507 123908 133104 133451 134030
mcs10_m2D_s40_AB07 32314 589467 34208 34820 33919 36217 34324 479849 478506 484227
mcs10_m2D_s40_AB08 16404 111486 19142 24535 28363 22463 19567 49779 47232 40141
mcs10_m2D_s40_AB09 80350 829876 83359 88470 78801 75380 89964 842490 842113 839621
mcs10_m2D_s50_AB00 36312479 69593375 21067957 10908049 6722162 6718700 7160250 38632087 23373347 53557787
mcs10_m2D_s50_AB01 9419574 37020631 9972457 8304339 9362878 9501535 9212410 37158802 24206894 24195866
mcs10_m2D_s50_AB02 2036752 24182114 2021491 2025438 2041153 2061125 2070511 18419420 18630216 18966961
mcs10_m2D_s50_AB03 5977534 8089724 4768337 4886215 4603894 4699140 4643103 8100927 7091478 6157933
mcs10_m2D_s50_AB04 1446889 4393561 1463491 1430630 1432412 1427275 1439171 4139008 3564865 3850340
