instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs30_b06_s35_AB06 1000000 94549 1000003 8506
mcs30_b06_s35_AB07 1000000 53099 828136 6430
mcs30_b06_s35_AB08 1000000 34331 561934 4861
mcs30_b06_s35_AB09 1000000 75494 897506 7175
mcs30_b06_s40_AB00 1000000 1000000 1000003 242723
mcs30_b06_s40_AB01 1000000 1000000 1000004 188106
mcs30_b06_s40_AB02 1000000 513576 1000003 62204
mcs30_b06_s40_AB03 1000000 352761 1000004 70745
mcs30_b06_s40_AB04 1000000 435837 1000003 64028
mcs30_b06_s40_AB05 1000000 1000000 1000003 92859
mcs30_b06_s40_AB06 1000000 612743 1000003 104067
mcs30_b06_s40_AB07 1000000 852010 1000003 92084
mcs30_b06_s40_AB08 1000000 284434 1000003 48135
mcs30_b06_s40_AB09 1000000 654230 1000003 70900
mcs30_b06_s50_AB00 1000000 1000000 1000004 1000001
mcs30_b06_s50_AB01 1000000 1000000 1000004 1000001
mcs30_b06_s50_AB02 1000000 1000000 1000003 1000001
mcs30_b06_s50_AB03 1000000 1000000 1000004 1000001
mcs30_b06_s50_AB04 1000000 1000000 1000004 1000001
mcs30_b06_s50_AB05 1000000 1000000 1000004 1000001
mcs30_b06_s50_AB06 1000000 1000000 1000005 1000001
mcs30_b06_s50_AB07 1000000 1000000 1000003 1000001
mcs30_b06_s50_AB08 1000000 1000000 1000003 1000001
mcs30_b06_s50_AB09 1000000 1000000 1000005 1000001
mcs30_b06m_s25_AB00 22265 535 876 54
mcs30_b06m_s25_AB01 23253 479 820 49
mcs30_b06m_s25_AB02 27760 571 1092 66
mcs30_b06m_s25_AB03 7318 226 329 42
mcs30_b06m_s25_AB04 13770 224 540 34
mcs30_b06m_s25_AB05 23666 610 1031 72
mcs30_b06m_s25_AB06 13130 484 598 53
mcs30_b06m_s25_AB07 19172 324 691 35
mcs30_b06m_s25_AB08 18851 376 764 34
mcs30_b06m_s25_AB09 29090 551 1179 56
mcs30_b06m_s30_AB00 727845 3590 24041 519
mcs30_b06m_s30_AB01 1000000 8220 51292 1066
mcs30_b06m_s30_AB02 381230 4619 12908 411
mcs30_b06m_s30_AB03 968073 7071 29709 693
mcs30_b06m_s30_AB04 663972 3739 20910 631
mcs30_b06m_s30_AB05 433172 2356 14170 220
mcs30_b06m_s30_AB06 527516 6673 16126 869
mcs30_b06m_s30_AB07 498988 5841 16241 589
mcs30_b06m_s30_AB08 885839 4032 26567 597
mcs30_b06m_s30_AB09 815080 4547 24335 514
mcs30_b06m_s35_AB00 1000000 55530 968131 8304
mcs30_b06m_s35_AB01 1000000 90058 1000003 15049
