instance clique james-cpp-max clique-par/t32 james-cpp-max-par/t32
mcs10_m2Dr2_s80_AB05 405822 1000000 7369 245725
mcs10_m2Dr2_s80_AB06 1000000 1000000 753500 1000002
mcs10_m2Dr2_s80_AB07 1000000 1000000 75986 1000002
mcs10_m2Dr2_s80_AB08 1000000 1000000 220133 1000003
mcs10_m2Dr2_s80_AB09 699544 1000000 24270 1000002
mcs10_m2Dr2_s90_AB00 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB01 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB02 1000000 1000000 1000002 1000002
mcs10_m2Dr2_s90_AB03 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB04 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB05 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB06 1000000 1000000 1000002 1000003
mcs10_m2Dr2_s90_AB07 1000000 1000000 1000002 1000001
mcs10_m2Dr2_s90_AB08 1000000 1000000 1000015 1000001
mcs10_m2Dr2_s90_AB09 1000000 1000000 1000002 1000001
mcs10_m2Dr4_s100_AB00 32765 1000000 1032 1000001
mcs10_m2Dr4_s100_AB01 222892 1000000 5600 1000005
mcs10_m2Dr4_s100_AB02 287286 1000000 11465 1000002
mcs10_m2Dr4_s100_AB03 14106 1000000 818 852561
mcs10_m2Dr4_s100_AB04 19088 1000000 610 1000003
mcs10_m2Dr4_s100_AB05 80171 1000000 2309 1000003
mcs10_m2Dr4_s100_AB06 50436 1000000 1954 1000001
mcs10_m2Dr4_s100_AB07 114629 1000000 4330 1000001
mcs10_m2Dr4_s100_AB08 1000000 1000000 60558 1000001
mcs10_m2Dr4_s100_AB09 1000000 1000000 23494 1000001
mcs10_m2Dr4_s40_AB00 6 20 11 9
mcs10_m2Dr4_s40_AB01 136 348 29 130
mcs10_m2Dr4_s40_AB02 24 189 13 84
mcs10_m2Dr4_s40_AB03 64 247 18 65
mcs10_m2Dr4_s40_AB04 16 161 11 30
mcs10_m2Dr4_s40_AB05 20 21 20 10
mcs10_m2Dr4_s40_AB06 80 281 28 121
mcs10_m2Dr4_s40_AB07 38 95 24 34
mcs10_m2Dr4_s40_AB08 52 88 21 33
mcs10_m2Dr4_s40_AB09 49 63 25 30
mcs10_m2Dr4_s50_AB00 4593 1215 244 276
mcs10_m2Dr4_s50_AB01 292 771 53 151
mcs10_m2Dr4_s50_AB02 877 11668 96 3680
mcs10_m2Dr4_s50_AB03 1637 5165 117 1547
mcs10_m2Dr4_s50_AB04 1776 4468 127 933
mcs10_m2Dr4_s50_AB05 1005 4528 125 1010
mcs10_m2Dr4_s50_AB06 1406 1134 91 283
mcs10_m2Dr4_s50_AB07 554 1178 85 157
mcs10_m2Dr4_s50_AB08 1897 10444 209 1480
mcs10_m2Dr4_s50_AB09 1950 8769 139 2381
mcs10_m2Dr4_s60_AB00 511 8685 50 5254
mcs10_m2Dr4_s60_AB01 321 3608 54 714
mcs10_m2Dr4_s60_AB02 2347 2762 163 1062
mcs10_m2Dr4_s60_AB03 1398 1543 103 513
mcs10_m2Dr4_s60_AB04 220 441 39 336
mcs10_m2Dr4_s60_AB05 645 9555 82 2568
mcs10_m2Dr4_s60_AB06 230 981 35 732
mcs10_m2Dr4_s60_AB07 694 2270 68 1596
mcs10_m2Dr4_s60_AB08 434 1622 71 1348
mcs10_m2Dr4_s60_AB09 573 5453 65 3798
mcs10_m2Dr4_s70_AB00 20142 87101 863 9071
mcs10_m2Dr4_s70_AB01 25250 270444 888 73531
mcs10_m2Dr4_s70_AB02 9080 56756 455 31956
mcs10_m2Dr4_s70_AB03 60405 465916 2241 96842
mcs10_m2Dr4_s70_AB04 18556 353216 858 143628
mcs10_m2Dr4_s70_AB05 563047 49133 19797 12718
mcs10_m2Dr4_s70_AB06 3392 101215 135 22770
mcs10_m2Dr4_s70_AB07 46446 258777 1179 68186
mcs10_m2Dr4_s70_AB08 339111 158798 11457 91422
mcs10_m2Dr4_s70_AB09 2560 36882 202 16889
mcs10_m2Dr4_s80_AB00 1000000 1000000 164234 1000001
mcs10_m2Dr4_s80_AB01 219398 1000000 5688 1000006
mcs10_m2Dr4_s80_AB02 1000000 1000000 40932 1000003
mcs10_m2Dr4_s80_AB03 335391 1000000 8583 1000004
mcs10_m2Dr4_s80_AB04 1000000 1000000 91232 543476
mcs10_m2Dr4_s80_AB05 1000000 1000000 165640 900534
mcs10_m2Dr4_s80_AB06 522318 1000000 19060 956918
mcs10_m2Dr4_s80_AB07 641537 1000000 17958 984362
mcs10_m2Dr4_s80_AB08 500341 1000000 11384 1000002
mcs10_m2Dr4_s80_AB09 1000000 1000000 51519 1000001
mcs10_m2Dr4_s90_AB00 1000000 1000000 1000002 1000001
mcs10_m2Dr4_s90_AB01 1000000 1000000 765343 1000002
mcs10_m2Dr4_s90_AB02 1000000 1000000 1000002 1000001
mcs10_m2Dr4_s90_AB03 1000000 1000000 1000010 1000001
mcs10_m2Dr4_s90_AB04 1000000 1000000 251302 1000003
mcs10_m2Dr4_s90_AB05 1000000 1000000 1000002 1000003
mcs10_m2Dr4_s90_AB06 1000000 1000000 1000002 1000002
mcs10_m2Dr4_s90_AB07 1000000 1000000 1000002 1000002
mcs10_m2Dr4_s90_AB08 1000000 1000000 1000002 1000002
mcs10_m2Dr4_s90_AB09 1000000 1000000 1000001 1000002
mcs10_m2Dr6_s100_AB00 540114 1000000 21332 1000002
mcs10_m2Dr6_s100_AB01 1000000 1000000 58424 1000001
mcs10_m2Dr6_s100_AB02 81215 1000000 2618 1000001
mcs10_m2Dr6_s100_AB03 19131 1000000 697 1000002
mcs10_m2Dr6_s100_AB04 506119 1000000 12794 1000001
mcs10_m2Dr6_s100_AB05 1000000 1000000 46445 1000001
mcs10_m2Dr6_s100_AB06 74723 1000000 1421 1000001
mcs10_m2Dr6_s100_AB07 654920 1000000 24904 787631
mcs10_m2Dr6_s100_AB08 1000000 1000000 40170 1000002
mcs10_m2Dr6_s100_AB09 361544 1000000 8532 1000004
mcs10_m2Dr6_s40_AB00 97 53 21 19
mcs10_m2Dr6_s40_AB01 222 441 32 127
mcs10_m2Dr6_s40_AB02 75 147 14 25
mcs10_m2Dr6_s40_AB03 9 77 20 21
mcs10_m2Dr6_s40_AB04 78 45 17 15
mcs10_m2Dr6_s40_AB05 27 255 25 44
mcs10_m2Dr6_s40_AB06 174 136 40 169
mcs10_m2Dr6_s40_AB07 81 333 23 174
mcs10_m2Dr6_s40_AB08 17 51 18 24
mcs10_m2Dr6_s40_AB09 62 447 25 145
mcs10_m2Dr6_s50_AB00 2831 1978 206 1340
mcs10_m2Dr6_s50_AB01 39598 10270 1388 3099
mcs10_m2Dr6_s50_AB02 1954 1272 159 314
mcs10_m2Dr6_s50_AB03 1426 1595 121 383
mcs10_m2Dr6_s50_AB04 636 2328 93 756
mcs10_m2Dr6_s50_AB05 2946 1263 145 429
mcs10_m2Dr6_s50_AB06 29954 5648 1070 1049
mcs10_m2Dr6_s50_AB07 5336 2640 298 882
mcs10_m2Dr6_s50_AB08 771 758 88 492
mcs10_m2Dr6_s50_AB09 3529 12147 326 1490
mcs10_m2Dr6_s60_AB00 3107 1763 110 1257
mcs10_m2Dr6_s60_AB01 6490 4048 282 661
